,Date,Envi,Fuji,Gala,type,region
27,21/6/2015,58399,527867,51953,conventional,USA
28,14/6/2015,64005,593500,48345,conventional,USA
29,7/6/2015,62585,462951,43721,conventional,USA
30,31/5/2015,67745,617814,45833,conventional,USA
31,24/5/2015,63610,560740,49809,conventional,USA
32,17/5/2015,63515,455167,44841,conventional,USA
33,10/5/2015,79192,507104,44391,conventional,USA
34,3/5/2015,73038,536710,77537,conventional,USA
35,26/4/2015,58014,431533,39943,conventional,USA
36,19/4/2015,67487,427623,42125,conventional,USA
37,12/4/2015,70797,523170,42271,conventional,USA
38,5/4/2015,53579,401279,41867,conventional,USA
39,29/3/2015,58098,398051,43760,conventional,USA
40,22/3/2015,65159,524971,42381,conventional,USA
41,15/3/2015,53400,395837,46596,conventional,USA
42,8/3/2015,55285,367671,42268,conventional,USA
43,1/3/2015,59040,498873,40242,conventional,USA
44,22/2/2015,50501,445971,62612,conventional,USA
45,15/2/2015,49752,361677,45900,conventional,USA
46,8/2/2015,71704,554857,37437,conventional,USA
47,1/2/2015,93167,666010,83652,conventional,USA
48,25/1/2015,49696,386399,39489,conventional,USA
49,18/1/2015,49947,393360,40576,conventional,USA
50,11/1/2015,51461,420838,42527,conventional,USA
51,4/1/2015,53987,552906,39995,conventional,USA
0,27/12/2015,30482,2972,5894,conventional,UK
1,20/12/2015,25628,2546,7394,conventional,UK
2,13/12/2015,27149,2986,6458,conventional,UK
3,6/12/2015,35591,12527,4086,conventional,UK
4,29/11/2015,24190,2790,6031,conventional,UK
5,22/11/2015,25409,3256,6663,conventional,UK
6,15/11/2015,24425,12086,6502,conventional,UK
7,8/11/2015,31910,4652,6286,conventional,UK
8,1/11/2015,30435,4360,6428,conventional,UK
9,25/10/2015,29522,10090,6552,conventional,UK
10,18/10/2015,29614,9069,6586,conventional,UK
11,11/10/2015,26114,33416,7604,conventional,UK
12,4/10/2015,35154,10822,7552,conventional,UK
13,27/9/2015,47007,5754,3663,conventional,UK
14,20/9/2015,34827,21592,6640,conventional,UK
15,13/9/2015,45739,4394,6593,conventional,UK
16,6/9/2015,44135,5402,7992,conventional,UK
17,30/8/2015,40927,5810,7923,conventional,UK
18,23/8/2015,44059,14861,4433,conventional,UK
19,16/8/2015,46189,5258,6457,conventional,UK
20,9/8/2015,44740,5034,3931,conventional,UK
21,2/8/2015,51151,5141,5435,conventional,UK
22,26/7/2015,50978,4856,5480,conventional,UK
23,19/7/2015,45922,5300,5565,conventional,UK
24,12/7/2015,51829,5803,7474,conventional,UK
25,5/7/2015,61950,8022,8435,conventional,UK
26,28/6/2015,59111,6573,3975,conventional,UK
27,21/6/2015,52790,15445,5876,conventional,UK
28,14/6/2015,58791,17880,3136,conventional,UK
29,7/6/2015,61245,7238,6656,conventional,UK
30,31/5/2015,57374,7421,4028,conventional,UK
31,24/5/2015,54826,14839,6037,conventional,UK
32,17/5/2015,61320,7394,2920,conventional,UK
33,10/5/2015,62505,15897,7891,conventional,UK
34,3/5/2015,66880,7942,4290,conventional,UK
35,26/4/2015,69545,7985,3402,conventional,UK
36,19/4/2015,56844,21631,3260,conventional,UK
37,12/4/2015,44469,8506,7523,conventional,UK
38,5/4/2015,57340,9060,3790,conventional,UK
39,29/3/2015,59533,7120,3102,conventional,UK
40,22/3/2015,44227,6590,7290,conventional,UK
41,15/3/2015,51472,7018,2982,conventional,UK
42,8/3/2015,45880,7206,7404,conventional,UK
43,1/3/2015,40578,23739,3492,conventional,UK
44,22/2/2015,50872,16375,2122,conventional,UK
45,15/2/2015,41548,7840,6493,conventional,UK
46,8/2/2015,54229,9647,3047,conventional,UK
47,1/2/2015,67496,36532,2905,conventional,UK
48,25/1/2015,51922,7556,2061,conventional,UK
49,18/1/2015,50355,6342,2257,conventional,UK
50,11/1/2015,38112,10998,3322,conventional,UK
51,4/1/2015,44562,24964,2752,conventional,UK
0,27/12/2015,3886,346965,13953,conventional,Italy
1,20/12/2015,4912,390101,5888,conventional,Italy
2,13/12/2015,4641,455362,219,conventional,Italy
3,6/12/2015,5126,407520,143,conventional,Italy
4,29/11/2015,3609,272719,106,conventional,Italy
5,22/11/2015,4458,383420,234,conventional,Italy
6,15/11/2015,5310,420937,140,conventional,Italy
7,8/11/2015,5304,542881,232,conventional,Italy
8,1/11/2015,4886,449532,170,conventional,Italy
9,25/10/2015,4005,430726,191,conventional,Italy
10,18/10/2015,6410,627504,333,conventional,Italy
11,11/10/2015,5146,378296,355,conventional,Italy
12,4/10/2015,5804,427359,278,conventional,Italy
13,27/9/2015,5211,463080,289,conventional,Italy
14,20/9/2015,4377,398673,418,conventional,Italy
15,13/9/2015,5422,560792,354,conventional,Italy
16,6/9/2015,4237,477868,497,conventional,Italy
17,30/8/2015,4177,438503,554,conventional,Italy
18,23/8/2015,4744,488292,609,conventional,Italy
19,16/8/2015,4461,464476,749,conventional,Italy
20,9/8/2015,4173,590998,827,conventional,Italy
21,2/8/2015,4442,468592,1452,conventional,Italy
22,26/7/2015,4299,393282,1958,conventional,Italy
23,19/7/2015,4720,477630,5072,conventional,Italy
24,12/7/2015,5332,471640,9362,conventional,Italy
25,5/7/2015,4743,418251,11054,conventional,Italy
26,28/6/2015,4688,403231,9120,conventional,Italy
27,21/6/2015,3582,404909,8899,conventional,Italy
28,14/6/2015,5104,521255,6545,conventional,Italy
29,7/6/2015,4034,421007,93,conventional,Italy
30,31/5/2015,4128,418105,109,conventional,Italy
31,24/5/2015,4602,490486,277,conventional,Italy
32,17/5/2015,4286,380514,163,conventional,Italy
33,10/5/2015,4602,476828,131,conventional,Italy
34,3/5/2015,3829,429586,240,conventional,Italy
35,26/4/2015,3915,352464,131,conventional,Italy
36,19/4/2015,4014,384880,163,conventional,Italy
37,12/4/2015,3576,294164,106,conventional,Italy
38,5/4/2015,3658,330425,100,conventional,Italy
39,29/3/2015,3619,339299,151,conventional,Italy
40,22/3/2015,5956,344397,156,conventional,Italy
41,15/3/2015,6086,308997,112,conventional,Italy
42,8/3/2015,3426,290513,79,conventional,Italy
43,1/3/2015,4106,383574,193,conventional,Italy
44,22/2/2015,3233,251341,142,conventional,Italy
45,15/2/2015,3795,281106,143,conventional,Italy
46,8/2/2015,7653,495732,384,conventional,Italy
47,1/2/2015,6083,373452,273,conventional,Italy
48,25/1/2015,4731,288095,46,conventional,Italy
49,18/1/2015,4384,287779,133,conventional,Italy
50,11/1/2015,5548,320577,122,conventional,Italy
51,4/1/2015,7194,396752,129,conventional,Italy
0,27/12/2015,1368,39543,86,conventional,Russia
1,20/12/2015,1165,38431,107,conventional,Russia
2,13/12/2015,1421,40783,66,conventional,Russia
3,6/12/2015,1738,58197,167,conventional,Russia
4,29/11/2015,1515,35683,113,conventional,Russia
5,22/11/2015,1712,38781,108,conventional,Russia
6,15/11/2015,1804,41457,107,conventional,Russia
7,8/11/2015,1289,49507,55,conventional,Russia
8,1/11/2015,2181,61875,186,conventional,Russia
9,25/10/2015,1546,36646,80,conventional,Russia
10,18/10/2015,1536,40702,58,conventional,Russia
11,11/10/2015,2170,50862,96,conventional,Russia
12,4/10/2015,3020,38353,101,conventional,Russia
13,27/9/2015,1908,60293,106,conventional,Russia
14,20/9/2015,1445,39832,89,conventional,Russia
15,13/9/2015,1573,48469,134,conventional,Russia
16,6/9/2015,1472,49388,173,conventional,Russia
17,30/8/2015,1406,61601,242,conventional,Russia
18,23/8/2015,1287,43655,170,conventional,Russia
19,16/8/2015,1231,45938,258,conventional,Russia
20,9/8/2015,1140,56289,349,conventional,Russia
21,2/8/2015,1448,44621,472,conventional,Russia
22,26/7/2015,1679,45615,742,conventional,Russia
23,19/7/2015,1166,54493,2205,conventional,Russia
24,12/7/2015,1119,47295,4715,conventional,Russia
25,5/7/2015,1503,56925,6708,conventional,Russia
26,28/6/2015,1236,51802,5397,conventional,Russia
27,21/6/2015,1255,47846,5425,conventional,Russia
28,14/6/2015,1184,48287,4433,conventional,Russia
29,7/6/2015,779,58000,139,conventional,Russia
30,31/5/2015,1039,54249,79,conventional,Russia
31,24/5/2015,1034,55019,104,conventional,Russia
32,17/5/2015,933,61668,57,conventional,Russia
33,10/5/2015,1322,73754,185,conventional,Russia
34,3/5/2015,946,50266,82,conventional,Russia
35,26/4/2015,1118,49557,106,conventional,Russia
36,19/4/2015,1022,52955,59,conventional,Russia
37,12/4/2015,884,45444,93,conventional,Russia
38,5/4/2015,969,51024,96,conventional,Russia
39,29/3/2015,1353,48430,81,conventional,Russia
40,22/3/2015,3091,45420,48,conventional,Russia
41,15/3/2015,3500,45689,66,conventional,Russia
42,8/3/2015,1072,61974,102,conventional,Russia
43,1/3/2015,1033,41685,104,conventional,Russia
44,22/2/2015,1709,45394,132,conventional,Russia
45,15/2/2015,1521,43272,58,conventional,Russia
46,8/2/2015,1822,66262,162,conventional,Russia
47,1/2/2015,2118,64771,112,conventional,Russia
48,25/1/2015,1321,54007,75,conventional,Russia
49,18/1/2015,1625,61860,133,conventional,Russia
50,11/1/2015,1642,50985,80,conventional,Russia
51,4/1/2015,3268,55693,110,conventional,Russia
0,27/12/2015,1833947,1760956,232756,conventional,NewZealand
1,20/12/2015,1676601,1543281,266690,conventional,NewZealand
2,13/12/2015,1806690,1627241,232985,conventional,NewZealand
3,6/12/2015,1943066,2100246,221957,conventional,NewZealand
4,29/11/2015,1461699,1810203,222311,conventional,NewZealand
5,22/11/2015,1602216,1917125,215632,conventional,NewZealand
6,15/11/2015,2243013,2164099,195159,conventional,NewZealand
7,8/11/2015,2317859,1758965,216524,conventional,NewZealand
8,1/11/2015,2369825,2596785,211902,conventional,NewZealand
9,25/10/2015,1733791,2025016,215623,conventional,NewZealand
10,18/10/2015,1847991,2286236,217814,conventional,NewZealand
11,11/10/2015,1757212,2530023,221033,conventional,NewZealand
12,4/10/2015,1461112,2788318,222261,conventional,NewZealand
13,27/9/2015,1860050,2635028,206460,conventional,NewZealand
14,20/9/2015,1702965,2230694,273922,conventional,NewZealand
15,13/9/2015,1863271,2388023,270794,conventional,NewZealand
16,6/9/2015,2859326,2077194,240185,conventional,NewZealand
17,30/8/2015,3104608,1660274,233027,conventional,NewZealand
18,23/8/2015,2626978,1798911,222083,conventional,NewZealand
19,16/8/2015,3098709,1731349,208725,conventional,NewZealand
20,9/8/2015,3260776,2196705,193832,conventional,NewZealand
21,2/8/2015,2940146,1737846,183471,conventional,NewZealand
22,26/7/2015,3112922,1636660,209427,conventional,NewZealand
23,19/7/2015,2805888,1629872,188207,conventional,NewZealand
24,12/7/2015,2747300,1923893,157478,conventional,NewZealand
25,5/7/2015,3581150,2120303,254187,conventional,NewZealand
26,28/6/2015,3163840,1610910,212173,conventional,NewZealand
27,21/6/2015,3328632,1743509,218424,conventional,NewZealand
28,14/6/2015,4075881,1771909,210671,conventional,NewZealand
29,7/6/2015,3614314,1860329,221330,conventional,NewZealand
30,31/5/2015,3620440,1826497,209443,conventional,NewZealand
31,24/5/2015,2978397,1873206,195991,conventional,NewZealand
32,17/5/2015,2923674,1649624,168597,conventional,NewZealand
33,10/5/2015,4085859,1735132,194576,conventional,NewZealand
34,3/5/2015,4340117,3403145,192474,conventional,NewZealand
35,26/4/2015,2421010,1729487,196469,conventional,NewZealand
36,19/4/2015,3024466,2070974,177355,conventional,NewZealand
37,12/4/2015,2848184,1988818,185199,conventional,NewZealand
38,5/4/2015,2754465,1886169,225397,conventional,NewZealand
39,29/3/2015,2609533,1869271,193578,conventional,NewZealand
40,22/3/2015,2348618,2314394,195791,conventional,NewZealand
41,15/3/2015,2962520,1737354,194761,conventional,NewZealand
42,8/3/2015,3484275,1649936,184721,conventional,NewZealand
43,1/3/2015,3516551,2460932,170581,conventional,NewZealand
44,22/2/2015,3210177,1933699,172676,conventional,NewZealand
45,15/2/2015,3315164,1620462,169908,conventional,NewZealand
46,8/2/2015,2908845,2200394,149459,conventional,NewZealand
47,1/2/2015,4794142,3460744,177145,conventional,NewZealand
48,25/1/2015,2380956,1827783,150536,conventional,NewZealand
49,18/1/2015,2780860,2108450,121614,conventional,NewZealand
50,11/1/2015,2889591,2485720,103573,conventional,NewZealand
51,4/1/2015,2843648,2267755,137480,conventional,NewZealand
0,27/12/2015,33070,62956,23042,conventional,Chile
1,20/12/2015,29500,55521,19843,conventional,Chile
2,13/12/2015,31727,62544,23843,conventional,Chile
3,6/12/2015,34117,63075,28483,conventional,Chile
4,29/11/2015,31911,53471,22686,conventional,Chile
5,22/11/2015,30029,53645,24222,conventional,Chile
6,15/11/2015,28544,80245,36861,conventional,Chile
7,8/11/2015,30861,54456,49282,conventional,Chile
8,1/11/2015,33372,47080,53969,conventional,Chile
9,25/10/2015,23094,38357,44883,conventional,Chile
10,18/10/2015,22805,54519,44707,conventional,Chile
11,11/10/2015,22942,45669,58990,conventional,Chile
12,4/10/2015,23649,44671,40367,conventional,Chile
13,27/9/2015,24398,54210,58552,conventional,Chile
14,20/9/2015,25923,46906,41262,conventional,Chile
15,13/9/2015,30123,41617,36469,conventional,Chile
16,6/9/2015,35127,62187,64372,conventional,Chile
17,30/8/2015,33512,41701,38130,conventional,Chile
18,23/8/2015,32281,50476,41678,conventional,Chile
19,16/8/2015,32129,42068,41343,conventional,Chile
20,9/8/2015,29916,43783,37614,conventional,Chile
21,2/8/2015,30200,48687,39735,conventional,Chile
22,26/7/2015,30901,39608,39261,conventional,Chile
23,19/7/2015,33382,49072,39515,conventional,Chile
24,12/7/2015,23581,56317,35107,conventional,Chile
25,5/7/2015,30803,73470,40602,conventional,Chile
26,28/6/2015,23694,58162,42044,conventional,Chile
27,21/6/2015,30951,58913,38260,conventional,Chile
28,14/6/2015,31248,64829,41193,conventional,Chile
29,7/6/2015,43524,45227,38579,conventional,Chile
30,31/5/2015,45688,43260,44530,conventional,Chile
31,24/5/2015,43629,59208,46014,conventional,Chile
32,17/5/2015,44340,46424,40249,conventional,Chile
33,10/5/2015,47626,42864,38370,conventional,Chile
34,3/5/2015,50203,69447,77627,conventional,Chile
35,26/4/2015,39481,44797,37961,conventional,Chile
36,19/4/2015,38330,41954,36041,conventional,Chile
37,12/4/2015,48793,50390,39638,conventional,Chile
38,5/4/2015,43112,40448,36210,conventional,Chile
39,29/3/2015,34498,50741,40688,conventional,Chile
40,22/3/2015,41638,44727,37099,conventional,Chile
41,15/3/2015,39138,48596,43740,conventional,Chile
42,8/3/2015,29980,39245,36250,conventional,Chile
43,1/3/2015,45465,40007,34949,conventional,Chile
44,22/2/2015,44680,48499,61590,conventional,Chile
45,15/2/2015,28228,38592,40431,conventional,Chile
46,8/2/2015,31509,35567,31779,conventional,Chile
47,1/2/2015,52916,71210,80814,conventional,Chile
48,25/1/2015,37383,44001,31576,conventional,Chile
49,18/1/2015,26463,40476,38677,conventional,Chile
50,11/1/2015,31586,38119,40802,conventional,Chile
51,4/1/2015,29419,47221,38569,conventional,Chile
0,27/12/2015,42799,445219,78378,conventional,Germany
1,20/12/2015,35725,464574,96306,conventional,Germany
2,13/12/2015,40380,451470,94163,conventional,Germany
3,6/12/2015,53173,455048,92888,conventional,Germany
4,29/11/2015,42851,422479,74989,conventional,Germany
5,22/11/2015,34869,553545,89732,conventional,Germany
6,15/11/2015,31286,441754,93857,conventional,Germany
7,8/11/2015,44528,498562,101889,conventional,Germany
8,1/11/2015,69420,562215,106537,conventional,Germany
9,25/10/2015,59161,454353,108012,conventional,Germany
10,18/10/2015,25883,482992,118311,conventional,Germany
11,11/10/2015,16455,503814,119996,conventional,Germany
12,4/10/2015,14269,485262,105711,conventional,Germany
13,27/9/2015,16484,532029,101194,conventional,Germany
14,20/9/2015,16478,534644,103104,conventional,Germany
15,13/9/2015,17172,546965,128620,conventional,Germany
16,6/9/2015,17596,581941,122938,conventional,Germany
17,30/8/2015,17363,570147,112344,conventional,Germany
18,23/8/2015,17596,550360,103622,conventional,Germany
19,16/8/2015,19194,609692,104997,conventional,Germany
20,9/8/2015,18237,526303,104796,conventional,Germany
21,2/8/2015,21607,559825,97419,conventional,Germany
22,26/7/2015,26653,577460,99067,conventional,Germany
23,19/7/2015,20535,560872,116910,conventional,Germany
24,12/7/2015,22934,545739,109149,conventional,Germany
25,5/7/2015,28423,661207,118635,conventional,Germany
26,28/6/2015,27392,524477,104595,conventional,Germany
27,21/6/2015,34715,536926,122240,conventional,Germany
28,14/6/2015,55228,586037,107908,conventional,Germany
29,7/6/2015,51411,544664,122929,conventional,Germany
30,31/5/2015,50564,518850,132733,conventional,Germany
31,24/5/2015,57568,611797,113476,conventional,Germany
32,17/5/2015,54088,569043,109205,conventional,Germany
33,10/5/2015,55587,545784,141251,conventional,Germany
34,3/5/2015,64799,690168,129694,conventional,Germany
35,26/4/2015,46749,543002,97410,conventional,Germany
36,19/4/2015,52850,594215,93303,conventional,Germany
37,12/4/2015,45104,488323,83138,conventional,Germany
38,5/4/2015,38641,530947,90802,conventional,Germany
39,29/3/2015,25630,545318,84866,conventional,Germany
40,22/3/2015,29308,596342,83938,conventional,Germany
41,15/3/2015,30101,600833,98822,conventional,Germany
42,8/3/2015,27489,523118,112934,conventional,Germany
43,1/3/2015,24137,637043,111791,conventional,Germany
44,22/2/2015,39072,533387,106178,conventional,Germany
45,15/2/2015,29712,488592,110447,conventional,Germany
46,8/2/2015,28217,499138,119634,conventional,Germany
47,1/2/2015,50784,824745,164884,conventional,Germany
48,25/1/2015,26118,488218,145882,conventional,Germany
49,18/1/2015,24918,533718,140240,conventional,Germany
50,11/1/2015,31240,558488,133849,conventional,Germany
51,4/1/2015,30270,550752,124506,conventional,Germany
0,27/12/2015,2633,100444,9547,conventional,Canada
1,20/12/2015,2732,108931,7517,conventional,Canada
2,13/12/2015,3803,123545,4574,conventional,Canada
3,6/12/2015,2915,129979,15476,conventional,Canada
4,29/11/2015,2399,94094,5886,conventional,Canada
5,22/11/2015,2566,115591,9596,conventional,Canada
6,15/11/2015,2680,129292,4906,conventional,Canada
7,8/11/2015,2979,156268,19577,conventional,Canada
8,1/11/2015,2998,166868,13268,conventional,Canada
9,25/10/2015,2265,132626,9187,conventional,Canada
10,18/10/2015,2297,131738,8932,conventional,Canada
11,11/10/2015,2251,146962,13778,conventional,Canada
12,4/10/2015,2133,157238,11768,conventional,Canada
13,27/9/2015,2221,138938,11725,conventional,Canada
14,20/9/2015,3128,139043,21180,conventional,Canada
15,13/9/2015,2195,139864,18310,conventional,Canada
16,6/9/2015,2463,154106,8957,conventional,Canada
17,30/8/2015,2624,153833,14357,conventional,Canada
18,23/8/2015,2751,141969,5300,conventional,Canada
19,16/8/2015,2473,146748,21571,conventional,Canada
20,9/8/2015,2358,144958,10922,conventional,Canada
21,2/8/2015,2443,142848,9778,conventional,Canada
22,26/7/2015,2474,139527,5692,conventional,Canada
23,19/7/2015,3726,146966,14449,conventional,Canada
24,12/7/2015,3503,148643,4243,conventional,Canada
25,5/7/2015,3238,165480,10202,conventional,Canada
26,28/6/2015,3691,144984,3667,conventional,Canada
27,21/6/2015,3795,158957,15259,conventional,Canada
28,14/6/2015,6856,145975,10047,conventional,Canada
29,7/6/2015,10630,146360,14602,conventional,Canada
30,31/5/2015,10459,143894,4652,conventional,Canada
31,24/5/2015,10259,152036,4491,conventional,Canada
32,17/5/2015,10240,150324,14524,conventional,Canada
33,10/5/2015,11982,172174,2408,conventional,Canada
34,3/5/2015,11469,162213,7282,conventional,Canada
35,26/4/2015,8217,138764,6904,conventional,Canada
36,19/4/2015,8229,144901,12959,conventional,Canada
37,12/4/2015,11177,120830,1306,conventional,Canada
38,5/4/2015,7517,135094,2508,conventional,Canada
39,29/3/2015,3015,122178,2448,conventional,Canada
40,22/3/2015,2968,137561,23368,conventional,Canada
41,15/3/2015,3551,131234,3387,conventional,Canada
42,8/3/2015,3471,147536,3678,conventional,Canada
43,1/3/2015,3610,157401,18681,conventional,Canada
44,22/2/2015,4432,134259,3240,conventional,Canada
45,15/2/2015,4399,122866,3067,conventional,Canada
46,8/2/2015,4246,140927,4186,conventional,Canada
47,1/2/2015,4666,224968,19442,conventional,Canada
48,25/1/2015,3617,162645,656,conventional,Canada
49,18/1/2015,3333,128858,1087,conventional,Canada
50,11/1/2015,3613,153100,1204,conventional,Canada
51,4/1/2015,3274,168765,1447,conventional,Canada
0,27/12/2015,41809,27121,15564,conventional,Mexico
1,20/12/2015,57558,23198,16371,conventional,Mexico
2,13/12/2015,69743,21751,12958,conventional,Mexico
3,6/12/2015,60376,33565,24435,conventional,Mexico
4,29/11/2015,40353,22858,16653,conventional,Mexico
5,22/11/2015,50335,25644,20731,conventional,Mexico
6,15/11/2015,52475,26706,15259,conventional,Mexico
7,8/11/2015,61495,35337,29584,conventional,Mexico
8,1/11/2015,58162,31821,23764,conventional,Mexico
9,25/10/2015,59745,23351,19024,conventional,Mexico
10,18/10/2015,62591,33117,18607,conventional,Mexico
11,11/10/2015,57480,39208,24725,conventional,Mexico
12,4/10/2015,53606,38396,23069,conventional,Mexico
13,27/9/2015,66588,33743,18528,conventional,Mexico
14,20/9/2015,86032,31599,26200,conventional,Mexico
15,13/9/2015,86159,31465,26703,conventional,Mexico
16,6/9/2015,61053,40881,20842,conventional,Mexico
17,30/8/2015,64531,32173,25752,conventional,Mexico
18,23/8/2015,64598,29728,15723,conventional,Mexico
19,16/8/2015,63291,36257,32384,conventional,Mexico
20,9/8/2015,64121,52440,20857,conventional,Mexico
21,2/8/2015,77973,30064,17345,conventional,Mexico
22,26/7/2015,91758,25540,13557,conventional,Mexico
23,19/7/2015,75081,33397,24209,conventional,Mexico
