Date,Envi,Fuji,Gala,type
30/8/2015,5989,4070,24,1
23/8/2015,12001,6027,32,1
16/8/2015,10282,5063,10,1
9/8/2015,12491,3931,22,1
2/8/2015,10555,2963,23,1
26/7/2015,9086,2620,22,1
19/7/2015,9847,2605,23,1
12/7/2015,9772,3067,32,1
5/7/2015,9787,3059,11,1
28/6/2015,10715,2930,33,1
21/6/2015,9953,2918,22,1
14/6/2015,11489,4349,50,1
7/6/2015,11956,4702,48,1
31/5/2015,11232,4800,21,1
24/5/2015,13289,5498,19,1
17/5/2015,19912,8930,19,1
10/5/2015,19400,8573,45,1
3/5/2015,88781,36428,144,1
26/4/2015,75842,37729,268,1
19/4/2015,6897,4707,66,1
12/4/2015,6190,4729,21,1
5/4/2015,8697,6633,20,1
29/3/2015,5456,8344,9,1
22/3/2015,9366,8035,16,1
15/3/2015,27916,27507,28,1
8/3/2015,34792,26156,46,1
1/3/2015,15769,11650,15,1
22/2/2015,4987,6082,29,1
15/2/2015,2347,7062,13,1
8/2/2015,3018,7175,10,1
1/2/2015,4824,10710,104,1
25/1/2015,4271,8412,585,1
18/1/2015,5475,32539,42,1
11/1/2015,8856,15071,25,1
4/1/2015,3199,6917,8,1
25/12/2016,5413,885,76,1
18/12/2016,9936,1782,101,1
11/12/2016,14092,1602,16,1
4/12/2016,12166,1971,23,1
27/11/2016,11122,1566,22,1
20/11/2016,14123,1493,6,1
13/11/2016,8092,1339,13,1
6/11/2016,11565,1279,24,1
30/10/2016,21485,2147,15,1
23/10/2016,15715,1953,36,1
16/10/2016,6148,1283,14,1
9/10/2016,11579,2259,13,1
2/10/2016,11038,1697,15,1
25/9/2016,9351,1695,8,1
18/9/2016,10443,2217,6,1
11/9/2016,10019,2408,14,1
4/9/2016,8811,2263,275,1
28/8/2016,5597,1247,286,1
21/8/2016,8263,1735,15,1
14/8/2016,8488,1648,13,1
7/8/2016,12876,2652,8,1
31/7/2016,14013,2829,36,1
24/7/2016,14467,3103,54,1
17/7/2016,15311,3457,21,1
10/7/2016,10122,2279,18,1
3/7/2016,13461,3316,58,1
26/6/2016,14922,4022,77,1
19/6/2016,20528,3778,100,1
12/6/2016,19721,3959,29,1
5/6/2016,12810,3098,22,1
29/5/2016,8556,1939,23,1
22/5/2016,25269,1853,34,1
15/5/2016,11220,3024,24,1
8/5/2016,14280,6750,52,1
1/5/2016,85419,40808,143,1
24/4/2016,62552,37421,125,1
17/4/2016,6856,2139,28,1
10/4/2016,5150,1545,26,1
3/4/2016,6435,2257,16,1
27/3/2016,8689,2179,26,1
20/3/2016,4709,3674,27,1
13/3/2016,17624,12791,53,1
6/3/2016,10701,10988,60,1
28/2/2016,4713,1955,23,1
21/2/2016,5721,2259,4,1
14/2/2016,6479,3527,28,1
7/2/2016,4205,3815,33,1
31/1/2016,6588,6336,41,1
24/1/2016,7581,5040,30,1
17/1/2016,6052,3670,23,1
10/1/2016,4370,10785,55,1
3/1/2016,7003,4241,52,1
31/12/2017,4401,483,13,1
24/12/2017,6227,528,30,1
17/12/2017,5039,435,43,1
10/12/2017,4093,452,50,1
3/12/2017,4565,368,16,1
26/11/2017,4745,393,86,1
19/11/2017,4507,340,16,1
12/11/2017,4294,412,21,1
5/11/2017,4139,412,36,1
29/10/2017,4980,572,27,1
22/10/2017,5719,907,75,1
15/10/2017,11990,1115,85,1
8/10/2017,7350,484,31,1
1/10/2017,3685,236,11,1
24/9/2017,3287,244,17,1
17/9/2017,6552,478,21,1
10/9/2017,6045,525,39,1
3/9/2017,5320,500,21,1
27/8/2017,5403,507,22,1
20/8/2017,5178,520,41,1
13/8/2017,7525,865,59,1
6/8/2017,9901,1086,46,1
30/7/2017,8613,1389,54,1
23/7/2017,8534,3419,215,1
16/7/2017,3638,1154,99,1
9/7/2017,12539,1475,81,1
2/7/2017,11851,2544,61,1
25/6/2017,4522,3679,27,1
18/6/2017,8640,2043,55,1
11/6/2017,16513,1810,103,1
4/6/2017,13420,1057,46,1
28/5/2017,25873,2438,165,1
21/5/2017,25044,4244,82,1
14/5/2017,22356,7368,139,1
7/5/2017,32779,13319,214,1
30/4/2017,24514,3402,97,1
23/4/2017,12793,2126,70,1
16/4/2017,16051,2802,112,1
9/4/2017,11793,2019,76,1
2/4/2017,9310,2010,58,1
26/3/2017,10129,1678,36,1
19/3/2017,9087,1632,24,1
12/3/2017,14682,2308,34,1
5/3/2017,23363,3586,23,1
26/2/2017,12233,2066,39,1
19/2/2017,10979,1473,20,1
12/2/2017,15110,2068,16,1
5/2/2017,9066,1335,21,1
29/1/2017,13842,3183,14,1
22/1/2017,12520,5289,11,1
15/1/2017,18781,3010,271,1
8/1/2017,8721,1639,54,1
1/1/2017,4103,776,6,1
25/3/2018,6516,686,44,1
18/3/2018,10539,797,33,1
11/3/2018,7033,640,52,1
4/3/2018,5777,589,11,1
25/2/2018,8387,751,25,1
18/2/2018,8065,598,50,1
11/2/2018,5261,639,35,1
4/2/2018,3747,497,23,1
28/1/2018,6132,551,36,1
21/1/2018,7842,687,33,1
14/1/2018,8396,839,54,1
7/1/2018,8897,939,22,1
